Ticker,Date,Open,High,Low,Close,Volume,Open Interest,Range,Close < Open,Count,,Max,12,,
XJO,20180831,6351.7998,6355.2002,6319.49805,6319.49805,755976256,0,58.3999,FALSE,0,,,,,
XJO,20180830,6352.2002,6373.5,6348.2002,6351.76221,663905280,0,31.5,TRUE,1,,,,,
XJO,20180829,6304.7002,6352.23584,6303,6352.23584,780241344,0,33,TRUE,2,,1,622,53.39%,53.39%
XJO,20180828,6268.8999,6318.8999,6268.8999,6304.65283,716108800,0,30.30005,FALSE,0,,2,268,23.00%,76.39%
XJO,20180827,6247.5,6269.6001,6230.8999,6268.87109,568651648,0,35.80005,FALSE,0,,3,146,12.53%,88.93%
XJO,20180824,6244.3999,6273.7002,6238,6247.32715,862097216,0,23.6001,FALSE,0,,4,66,5.67%,94.59%
XJO,20180823,6266,6275.7002,6242.5,6244.37012,845147456,0,39.5,TRUE,1,,5,37,3.18%,97.77%
XJO,20180822,6284.3999,6284.3999,6248.7998,6265.97803,657229056,0,33,TRUE,2,,6,20,1.72%,99.48%
XJO,20180821,6345,6345.3999,6275.8999,6284.37793,533114080,0,59.80005,TRUE,3,,7,2,0.17%,99.66%
XJO,20180820,6338.3999,6358,6338.3999,6344.99414,630799360,0,40.90015,FALSE,0,,8,2,0.17%,99.83%
XJO,20180817,6328.2998,6348.1001,6316.6001,6339.23291,589150592,0,210.09985,TRUE,1,,9,0,0.00%,99.83%
XJO,20180816,6329,6331,6282.3999,6328.29297,725926592,0,89.40015,FALSE,0,,10,1,0.09%,99.91%
XJO,20180815,6299.6001,6329.01904,6274.7002,6329.01904,539482944,0,60.59985,FALSE,0,,11,0,0.00%,99.91%
XJO,20180814,6252.2002,6307.7998,6252.2002,6299.63477,571520128,0,36.09985,FALSE,0,,12,1,0.09%,100.00%
XJO,20180813,6278.1001,6279.7002,6239.6001,6252.1709,467759264,0,57.6001,FALSE,0,,,,,
XJO,20180810,6297.7002,6307.2002,6277.3999,6278.39307,451652352,0,27.7998,TRUE,1,,,1165,,
XJO,20180809,6268.5,6313.6001,6258.3999,6297.65186,522186784,0,33.09985,FALSE,0,,,,,
XJO,20180808,6253.8999,6279,6253.8999,6268.52783,583484544,0,22.69995,TRUE,1,,,,,
XJO,20180807,6273,6273,6244.3999,6253.93604,597114176,0,30,FALSE,0,,,,,
XJO,20180806,6234.7998,6284.2998,6234.7998,6272.979,342740704,0,28.19995,TRUE,1,,,,,
XJO,20180803,6240.8999,6269.8999,6231.2002,6234.77686,473619776,0,57.8999,TRUE,2,,,,,
XJO,20180802,6275.7002,6277.5,6240.86182,6240.86182,543709120,0,53.53906,FALSE,0,,,,,
XJO,20180801,6280.2002,6293.2998,6269.1001,6275.7168,471642688,0,20.3999,TRUE,1,,,,,
XJO,20180731,6278.3999,6298.6001,6271.8999,6280.20117,549812544,0,22.42505,TRUE,2,,,,,
XJO,20180730,6297,6300.2002,6260,6278.39209,452425984,0,52.5,TRUE,3,,,,,
XJO,20180727,6244.5,6302.2998,6244.5,6300.22705,756565952,0,55.09985,TRUE,4,,,,,
XJO,20180726,6247.6001,6252.1001,6214.5,6244.49805,653616128,0,47.90015,FALSE,0,,,,,
XJO,20180725,6265.7998,6277.2998,6239.7002,6247.646,535863200,0,25.80005,FALSE,0,,,,,
XJO,20180724,6227.6001,6269.2002,6227.6001,6265.8418,472148032,0,39.5,FALSE,0,,,,,
XJO,20180723,6285.8999,6285.8999,6224.8999,6227.55615,442920448,0,24.19995,TRUE,1,,,,,
XJO,20180720,6262.7002,6297.8999,6254.7998,6285.85107,449803904,0,33.69995,TRUE,2,,,,,
XJO,20180719,6245.1001,6274.2002,6243.1001,6262.7002,554303552,0,20.80005,TRUE,3,,,,,
XJO,20180718,6203.6001,6256.7998,6203.6001,6245.11084,500877760,0,43.2002,TRUE,4,,,,,
XJO,20180717,6241.5,6241.5,6199.8999,6203.64014,459557408,0,19.19995,FALSE,0,,,,,
XJO,20180716,6267.6001,6275.7002,6235.5,6241.51807,381983648,0,35.8999,TRUE,1,,,,,
XJO,20180713,6268.2998,6287.1001,6251.1001,6268.39111,425173632,0,21.6001,FALSE,0,,,,,
XJO,20180712,6215.6001,6279.7998,6209.8999,6268.30518,598966208,0,21.5,TRUE,1,,,,,
XJO,20180711,6258.1001,6258.1001,6209.6001,6215.59912,504083200,0,35.90015,FALSE,0,,,,,
XJO,20180710,6286,6306.1001,6257.8999,6258.09717,479127584,0,17.69995,FALSE,0,,,,,
XJO,20180709,6272.2998,6301.5,6272.2998,6286.04004,397106144,0,55,FALSE,0,,,,,
XJO,20180706,6215.5,6273.5,6215.5,6272.29102,536034240,0,22.30005,FALSE,0,,,,,
XJO,20180705,6183.3999,6218.5,6182,6215.51904,532356640,0,56.69995,FALSE,0,,,,,
XJO,20180704,6210.2002,6213.7998,6174.3999,6183.38721,488086496,0,31.8999,FALSE,0,,,,,
XJO,20180703,6177.7998,6218.2998,6177.7998,6210.20605,509611936,0,20.41601,FALSE,0,,,,,
XJO,20180702,6194.63281,6220.1001,6177.5,6177.79199,496435520,0,39.30005,TRUE,1,,,,,
XJO,20180629,6215.3999,6232.6001,6194.6001,6194.63281,741080128,0,23.59985,FALSE,0,,,,,
XJO,20180628,6195.8999,6218.8999,6178.3999,6215.38818,602567680,0,37.8999,FALSE,0,,,,,
XJO,20180627,6197.6001,6216.2998,6189.3999,6195.85889,573791488,0,39.69995,TRUE,1,,,,,
XJO,20180626,6210.3999,6210.3999,6161.1001,6197.61182,515772608,0,14.6001,FALSE,0,,,,,
